,close,datetime,high,low,open,volume
395,154.68,1548741600000,158.13,154.11,156.25,41587239
396,165.25,1548828000000,166.15,160.23,163.25,61109780
397,166.44,1548914400000,169.0,164.56,166.11,40739649
398,166.52,1549000800000,168.98,165.93,166.96,32668138
399,171.25,1549260000000,171.655,167.28,167.41,31495582
400,174.18,1549346400000,175.08,172.3501,172.86,36101628
401,174.24,1549432800000,175.57,172.8531,174.65,28239591
402,170.94,1549519200000,173.94,170.34,172.4,31741690
403,170.41,1549605600000,170.66,168.42,168.99,23819966
404,169.43,1549864800000,171.21,169.25,171.05,20993425
405,170.89,1549951200000,171.0,169.7,170.1,22283523
406,170.18,1550037600000,172.48,169.92,171.39,22490233
407,170.8,1550124000000,171.2615,169.38,169.71,21835747
408,170.42,1550210400000,171.7,169.75,171.25,24626814
409,170.93,1550556000000,171.44,169.49,169.71,18972826
410,172.03,1550642400000,173.32,170.99,171.19,26114362
411,171.06,1550728800000,172.37,170.3,171.8,17249670
412,172.97,1550815200000,173.0,171.38,171.58,18913154
413,174.23,1551074400000,175.87,173.95,174.16,21873358
414,174.33,1551160800000,175.3,173.1732,173.71,17070211
415,174.87,1551247200000,175.0,172.73,173.21,27835389
416,173.15,1551333600000,174.91,172.92,174.32,28215416
417,174.97,1551420000000,175.15,172.89,174.28,25886167
418,175.85,1551679200000,177.75,173.97,175.69,27436203
419,175.53,1551765600000,176.0,174.54,175.94,19737419
420,174.52,1551852000000,175.49,173.94,174.67,20810384
421,172.5,1551938400000,174.44,172.02,173.87,24796374
422,172.91,1552024800000,173.07,169.5,170.32,23999358
423,178.9,1552280400000,179.12,175.35,175.49,32011034
424,180.91,1552366800000,182.67,179.37,180.0,32467584
425,181.71,1552453200000,183.3,180.92,182.25,31032524
426,183.73,1552539600000,184.1,182.56,183.9,23579508
427,186.12,1552626000000,187.33,183.74,184.85,39042912
428,188.02,1552885200000,188.39,185.79,185.8,26219832
429,186.53,1552971600000,188.99,185.92,188.35,31646369
430,188.16,1553058000000,189.49,184.73,186.23,31035231
431,195.09,1553144400000,196.33,189.81,190.02,51034237
432,191.05,1553230800000,197.69,190.78,195.34,42386738
433,188.74,1553490000000,191.98,186.6,191.51,43845293
434,186.79,1553576400000,192.88,184.58,191.664,49800538
435,188.47,1553662800000,189.76,186.55,188.75,29848427
436,188.72,1553749200000,189.559,187.53,188.95,20780363
437,189.95,1553835600000,190.08,188.54,189.83,23563961
438,191.24,1554094800000,191.68,188.38,191.64,27861964
439,194.02,1554181200000,194.46,191.05,191.09,22765732
440,195.35,1554267600000,196.5,193.15,193.25,23271830
441,195.69,1554354000000,196.37,193.14,194.79,19114275
442,197.0,1554440400000,197.1,195.93,196.45,18526644
443,200.1,1554699600000,200.23,196.34,196.42,25881697
444,199.5,1554786000000,202.85,199.23,200.32,35768237
445,200.62,1554872400000,200.74,198.18,198.68,21695288
446,198.95,1554958800000,201.0,198.4431,200.85,20900808
447,198.87,1555045200000,200.14,196.21,199.2,27760668
448,199.23,1555304400000,199.85,198.01,198.58,17536646
449,199.25,1555390800000,201.37,198.56,199.46,25696385
450,203.13,1555477200000,203.38,198.61,199.54,28906780
451,203.86,1555563600000,204.15,202.52,203.12,24195766
452,204.53,1555909200000,204.94,202.34,202.83,19439545
453,207.48,1555995600000,207.75,203.9,204.43,23322991
454,207.16,1556082000000,208.48,207.05,207.36,17540609
455,205.28,1556168400000,207.76,205.12,206.83,18543206
456,204.3,1556254800000,205.0,202.12,204.9,18649102
457,204.61,1556514000000,205.97,203.86,204.4,22204716
458,200.67,1556600400000,203.4,199.11,203.06,46534923
459,210.52,1556686800000,215.31,209.23,209.88,64827328
460,209.15,1556773200000,212.65,208.13,209.84,31996324
461,211.75,1556859600000,211.84,210.23,210.89,20892378
462,208.48,1557118800000,208.84,203.5,204.29,32443113
463,202.86,1557205200000,207.4175,200.825,205.88,38763698
464,202.9,1557291600000,205.34,201.75,201.9,26339504
465,200.72,1557378000000,201.68,196.66,200.4,34908607
466,197.18,1557464400000,198.85,192.77,197.419,41208712
467,185.72,1557723600000,189.48,182.85,187.71,57430623
468,188.66,1557810000000,189.7,185.41,186.41,36529677
469,190.92,1557896400000,191.75,186.02,186.27,26544718
470,190.08,1557982800000,192.4689,188.84,189.91,33031364
471,189.0,1558069200000,190.9,186.76,186.93,32879090
472,183.09,1558328400000,184.349,180.2839,183.52,38612290
473,186.6,1558414800000,188.0,184.7,185.22,28364848
474,182.78,1558501200000,185.71,182.55,184.66,29748556
475,179.66,1558587600000,180.54,177.81,179.8,36529736
476,178.97,1558674000000,182.14,178.62,180.2,23714686
477,178.23,1559019600000,180.59,177.91,178.92,27948160
478,177.38,1559106000000,179.35,176.0,176.42,28481165
479,178.3,1559192400000,179.23,176.67,177.95,21218412
480,175.07,1559278800000,177.99,174.99,176.23,27043584
481,173.3,1559538000000,177.92,170.27,175.6,40396069
482,179.64,1559624400000,179.83,174.52,175.44,30967961
483,182.54,1559710800000,184.99,181.14,184.28,29773427
484,185.22,1559797200000,185.47,182.1489,183.08,22526311
485,190.15,1559883600000,191.92,185.77,186.51,30684393
486,192.58,1560142800000,195.37,191.62,191.81,26220851
487,194.81,1560229200000,196.0,193.6,194.86,26932882
488,194.19,1560315600000,195.97,193.385,193.95,18253189
489,194.15,1560402000000,196.79,193.6,194.7,21674625
